"plot";"n";"spp";"DBH_1";"DBH_2"
2;"70.0";"Araucaria angustifolia (Bertol.) Kuntze";42,2397219;47,10986316
2;"71.0";"Eugenia pluriflora DC.";6,047887837;6,079718826
2;"72.0";"Jacaranda puberula Cham.";7,703099246;7,703099246
2;"73.0";"Eugenia pluriflora DC.";5,888732894;5,888732894
2;"74.0";"Casearia decandra Jacq.";6,589014644;6,68450761
2;"75.0";"Araucaria angustifolia (Bertol.) Kuntze";12,41408556;14,10112796
2;"76.0";"Jacaranda puberula Cham.";12,73239545;14,76957872
2;"77.0";"Jacaranda puberula Cham.";6,366197724;7,257465405
2;"78.0";"Calyptranthes concinna DC.";5,220282133;5,315775099
2;"79.0";"Jacaranda puberula Cham.";7,543944303;7,734930234
2;"80.0";"Jacaranda puberula Cham.";6,238873769;NA
2;"81.0";"Lamanonia ternata Vell.";5,195866567;5,156620156
2;"100.0";"Jacaranda puberula Cham.";11,30000096;11,77746579
2;"A4";"Araucaria angustifolia (Bertol.) Kuntze";NA;5,092958179
2;"B6";"Casearia decandra Jacq.";NA;NA
2;"B4";"Myrsine umbellata Mart.";NA;NA
